rent,sqft,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,roof,concierge,pool,elevator,garage,latitude,longitude,dishwasher,dist_transit,dist_wall_street,pets_allowed,beds_times_baths
3100.0,1300.0,0,0,1,0,0,0,0,0,0,40.68932,-73.94479,1,0.3586794203877367,3.6535208066357128,1,6.0
2799.0,800.0,0,0,0,0,0,0,0,0,0,40.68801,-73.91685,0,0.15455026058480353,5.074855540199652,1,2.0
2049.0,800.0,0,1,0,1,0,0,0,0,0,40.68171,-73.92867,1,0.16323917518427636,4.632689254886635,1,2.0
4400.0,1000.0,0,1,0,1,0,0,0,0,0,40.70488,-73.92768,0,0.2326036424349978,4.325033436517031,1,1.0
4400.0,1000.0,0,1,0,1,0,0,0,0,0,40.70488,-73.92768,0,0.2326036424349978,4.325033436517031,1,1.0
2800.0,1200.0,0,0,0,0,0,0,0,0,0,40.70866,-73.95519,0,0.10754398626955042,2.880256814595318,0,2.0
2095.0,800.0,0,0,0,0,0,0,0,0,0,40.66232,-73.92661,0,0.2551978477415219,5.386446364225935,1,2.0
2399.0,1150.0,0,0,0,0,0,0,0,0,0,40.6801,-73.91055,0,0.11027187193328714,5.557099691452601,0,6.0
2650.0,700.0,1,1,0,1,0,0,0,1,1,40.68087,-73.92991,1,0.09604643450829019,4.596051550169939,0,0.0
3200.0,800.0,1,1,0,1,0,0,0,1,1,40.68087,-73.92991,1,0.09604643450829019,4.596051550169939,0,1.0
3200.0,800.0,1,1,0,1,0,0,0,1,1,40.68087,-73.92991,1,0.09604643450829019,4.596051550169939,0,1.0
4600.0,900.0,1,1,0,1,0,0,0,1,1,40.68087,-73.92991,1,0.09604643450829019,4.596051550169939,0,2.0
4600.0,800.0,1,1,0,1,0,0,0,1,1,40.68087,-73.92991,1,0.09604643450829019,4.596051550169939,0,2.0
3200.0,800.0,1,1,0,1,0,0,0,1,1,40.68087,-73.92991,1,0.09604643450829019,4.596051550169939,0,1.0
2099.0,900.0,0,0,0,0,0,0,0,0,0,40.67454,-73.91705,0,0.31595251693220916,5.390725030696921,1,3.0
3100.0,1000.0,0,1,1,1,0,0,0,1,1,40.69113,-73.92615,1,0.15570483307558655,4.548237569408744,1,6.0
2740.0,800.0,0,1,1,1,0,0,0,1,1,40.69113,-73.92615,1,0.15570483307558655,4.548237569408744,1,2.0
2800.0,999.0,0,1,0,0,0,0,0,0,0,40.69934,-73.92034,1,0.08732332645844441,4.7408054824638075,1,4.5
2950.0,1000.0,0,1,0,0,0,0,0,0,0,40.69042,-73.91497,1,0.3115647715644849,5.128312489905412,1,3.0
1550.0,300.0,0,0,1,1,0,0,0,0,0,40.69253,-73.9249,0,0.1616272058616849,4.5884699550873265,0,0.0
1950.0,850.0,0,0,0,1,0,0,0,0,0,40.63917,-73.95724,0,0.38393907169115077,5.489741442875425,1,2.0
1600.0,500.0,1,0,1,0,0,0,0,0,0,40.64661,-73.94549,1,0.19928602025765346,5.415190526566446,0,1.0
3099.0,800.0,0,1,1,0,0,0,0,0,1,40.69809,-73.93062,1,0.2150198694760489,4.219727597476664,1,2.0
5200.0,746.0,1,1,1,0,0,1,0,1,1,40.72148,-73.95648,1,0.2591529325884013,2.9677200056166178,1,1.0
1800.0,720.0,0,1,0,0,0,0,0,0,0,40.6467,-73.89205,0,0.4770446523037762,7.4896092393775175,0,1.0
5500.0,1110.0,0,0,0,0,0,0,0,0,0,40.71236,-73.95076,0,0.1023182374923779,3.1278392813436544,0,2.0
4500.0,1000.0,0,1,0,1,0,0,0,0,0,40.72955,-73.95867,1,0.2246663624275039,3.089411381964616,1,2.0
1450.0,700.0,0,0,0,1,0,0,0,0,0,40.61358,-73.91772,0,2.014638516152454,8.111863220053882,0,1.0
1840.0,115.0,1,1,1,1,0,0,0,0,0,40.68209,-73.95947,1,0.20329608494522305,3.192810876691481,0,0.0
1840.0,115.0,1,1,1,1,0,0,0,0,0,40.68209,-73.95947,1,0.20329608494522305,3.192810876691481,0,0.0
3100.0,800.0,0,1,1,0,0,0,0,0,0,40.69941,-73.93821,0,0.20267955782649522,3.812810656102927,1,4.0
2249.0,500.0,0,0,1,0,0,0,0,0,0,40.69527,-73.956,0,0.3417471228852637,2.9652857262656576,1,1.0
2200.0,500.0,0,0,1,0,0,0,0,0,0,40.69527,-73.956,0,0.3417471228852637,2.9652857262656576,1,1.0
2000.0,1200.0,0,1,0,0,0,0,0,0,0,40.64266,-73.90189,0,0.20310880218083358,7.239588634979192,0,2.0
1800.0,800.0,0,0,0,0,0,0,0,0,0,40.59826,-73.992,0,0.24006714490104866,7.623866777801601,0,2.0
