rent,beds,baths,sqft,date_available,date_scraped,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,car_charging,roof,concierge,pool,elevator,garage,dogs_allowed,cats_allowed,income_restrictions,latitude,longitude,zipcode,dishwasher,price/sqft,dist_seattle,dist_transit,zipcode_cluster_id,neighborhood
1493.0,2,2.0,709.0,2022-04-07,2022-04-01,1,0,1,0,0,0,0,0,0,1,1,1,1,47.7266,-122.34662,98133,,2.1057827926657264,8.486692818054246,0.07162624582662298,4.0,Bitter Lake
2005.0,2,2.0,1018.0,2022-04-09,2022-04-01,1,1,1,0,0,0,0,1,0,0,1,1,0,47.48053,-122.24396,98057,1,1.969548133595285,9.53357144247899,0.136349338505354,,
1895.0,2,2.0,1018.0,2022-04-10,2022-04-10,1,1,1,0,0,0,0,1,0,0,1,1,0,47.48053,-122.24396,98057,1,1.8614931237721022,9.53357144247899,0.136349338505354,,
1745.0,1,1.0,828.0,2022-04-10,2022-04-10,1,1,1,0,0,0,0,1,0,0,1,1,0,47.48053,-122.24396,98057,1,2.107487922705314,9.53357144247899,0.136349338505354,,
1345.0,1,1.0,828.0,2022-04-27,2022-04-01,1,1,1,0,0,0,0,1,0,0,1,1,0,47.48053,-122.24396,98057,1,1.6243961352657006,9.53357144247899,0.136349338505354,,
1845.0,2,2.0,1018.0,2022-04-14,2022-04-10,1,1,1,0,0,0,0,1,0,0,1,1,0,47.48053,-122.24396,98057,1,1.81237721021611,9.53357144247899,0.136349338505354,,
1570.0,1,1.0,828.0,2022-06-09,2022-04-10,1,1,1,0,0,0,0,1,0,0,1,1,0,47.48053,-122.24396,98057,1,1.896135265700483,9.53357144247899,0.136349338505354,,
1400.0,1,1.0,600.0,2022-04-10,2022-04-10,0,0,0,1,0,0,0,0,1,1,0,1,0,47.66771,-122.31162,98105,1,2.3333333333333335,4.535526453375629,0.07674407761644288,3.0,University District
1495.0,1,1.0,600.0,2022-04-10,2022-04-10,0,0,0,1,0,0,0,0,1,1,0,1,0,47.66771,-122.31162,98105,1,2.4916666666666667,4.535526453375629,0.07674407761644288,3.0,University District
2095.0,1,1.0,732.0,2022-04-10,2022-04-10,0,0,1,0,0,1,0,0,1,0,0,1,0,47.67474,-122.37651,98107,1,2.862021857923497,5.252139804554465,0.09312535943293611,0.0,Adams
1595.0,1,1.0,430.0,2022-04-01,2022-04-01,0,0,1,0,0,1,0,0,1,0,0,1,0,47.67474,-122.37651,98107,1,3.7093023255813953,5.252139804554465,0.09312535943293611,0.0,Adams
1349.0,0,0.0,288.0,2022-04-10,2022-04-10,0,0,1,0,0,1,0,0,1,0,0,1,0,47.67474,-122.37651,98107,1,4.684027777777778,5.252139804554465,0.09312535943293611,0.0,Adams
1495.0,0,1.0,413.0,2022-04-15,2022-04-10,0,0,0,0,0,0,0,0,0,1,1,1,0,47.60459,-122.31973,98122,0,3.6198547215496366,0.7202517174956841,0.05248074267521461,5.0,Yesler Terrace
1625.0,1,1.0,451.0,2022-04-10,2022-04-10,0,0,1,0,0,1,0,0,1,1,1,1,0,47.5995,-122.29905,98144,1,3.6031042128603104,1.7112757193161816,0.06196897531432167,5.0,Atlantic
1422.5,0,1.0,467.5,2022-04-10,2022-04-10,0,0,0,1,0,0,0,0,1,0,1,1,0,47.61763,-122.32477,98122,0,3.0427807486631018,1.0581718577639934,0.10371832156286773,5.0,Broadway
2463.0,2,2.0,966.0,2022-05-07,2022-04-10,1,0,1,0,1,1,0,0,1,1,1,1,0,47.75939,-122.34469,98133,1,2.549689440993789,10.744649282379456,0.0685582176177232,4.0,
1360.0,0,0.0,565.0,2022-04-07,2022-04-01,1,0,1,0,1,1,0,0,1,1,1,1,0,47.75939,-122.34469,98133,1,2.4070796460176993,10.744649282379456,0.0685582176177232,4.0,
1889.0,1,1.0,553.0,2022-04-07,2022-04-01,1,0,1,0,1,1,0,0,1,1,1,1,0,47.75939,-122.34469,98133,1,3.4159132007233275,10.744649282379456,0.0685582176177232,4.0,
1648.0,1,1.0,743.0,2022-04-24,2022-04-01,1,0,1,0,1,1,0,0,1,1,1,1,0,47.75939,-122.34469,98133,1,2.218034993270525,10.744649282379456,0.0685582176177232,4.0,
1711.0,1,1.0,743.0,2022-06-04,2022-04-01,1,0,1,0,1,1,0,0,1,1,1,1,0,47.75939,-122.34469,98133,1,2.3028263795423958,10.744649282379456,0.0685582176177232,4.0,
1889.0,1,1.0,553.0,2022-04-10,2022-04-01,1,0,1,0,1,1,0,0,1,1,1,1,0,47.75939,-122.34469,98133,1,3.4159132007233275,10.744649282379456,0.0685582176177232,4.0,
2428.0,1,1.0,958.0,2022-04-10,2022-04-10,1,0,1,0,1,1,0,0,1,1,1,1,0,47.75939,-122.34469,98133,1,2.534446764091858,10.744649282379456,0.0685582176177232,4.0,
2617.0,2,2.0,966.0,2022-04-01,2022-04-01,1,0,1,0,1,1,0,0,1,1,1,1,0,47.75939,-122.34469,98133,1,2.709109730848861,10.744649282379456,0.0685582176177232,4.0,
1981.0,1,1.0,743.0,2022-05-22,2022-04-10,1,0,1,0,1,1,0,0,1,1,1,1,0,47.75939,-122.34469,98133,1,2.6662180349932707,10.744649282379456,0.0685582176177232,4.0,
