rent,beds,baths,sqft,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,roof,concierge,pool,elevator,garage,borough,dishwasher,dist_waterfront,pets_allowed,cluster_0.0,cluster_1.0,cluster_2.0,cluster_3.0,cluster_4.0,cluster_5.0,cluster_6.0,cluster_7.0,cluster_8.0,cluster_9.0,cluster_16.0
8.366370301681654,2,1.0,6.551080335043404,1,1,0,1,0,0,0,1,0,Manhattan,1,0.9811382607096927,1,0,0,0,0,0,0,1,0,0,0,0
8.294049640102028,2,1.0,6.396929655216146,1,1,0,1,0,0,0,1,0,Manhattan,1,0.9811382607096927,1,0,0,0,0,0,0,1,0,0,0,0
8.97335141383992,3,2.5,7.600902459542082,0,0,0,0,0,0,0,0,0,Manhattan,0,2.182106677757959,0,0,0,1,0,0,0,0,0,0,0,0
8.06054004653864,3,3.0,6.163314804034641,1,0,1,0,0,0,0,0,0,Manhattan,1,1.0524962847057224,1,0,0,0,0,0,0,0,1,0,0,0
8.388222810119277,1,1.0,6.907755278982137,0,1,1,0,0,0,0,0,0,Manhattan,1,2.0380649878797064,1,0,0,0,0,0,0,0,1,0,0,0
8.49596955496461,3,2.0,6.856461984594587,0,0,0,1,0,0,0,0,0,Manhattan,0,0.8452670890342586,1,0,0,0,0,0,0,1,0,0,0,0
8.410720946905721,2,1.0,6.709304340258298,0,1,1,0,0,0,0,0,0,Manhattan,1,0.6838694163640614,1,0,0,0,0,0,0,1,0,0,0,0
7.928406026180535,2,1.0,6.698268054115413,1,0,0,1,1,0,0,1,1,Manhattan,1,2.22199267393179,1,0,0,0,0,1,0,0,0,0,0,0
8.107720061910534,2,1.0,6.551080335043404,1,1,0,1,0,1,0,1,0,Manhattan,1,0.5932177108238467,1,0,1,0,0,0,0,0,0,0,0,0
7.989560449333865,0,1.0,6.214608098422191,1,1,0,1,0,1,0,1,0,Manhattan,1,0.5932177108238467,1,0,1,0,0,0,0,0,0,0,0,0
8.202482446576537,1,1.0,6.551080335043404,1,1,0,1,0,0,0,1,0,Manhattan,0,1.8881679058560912,0,0,0,1,0,0,0,0,0,0,0,0
8.216088098632316,1,1.0,6.802394763324311,0,0,1,0,0,0,0,0,0,Manhattan,0,0.7507290989443275,1,0,0,0,0,0,0,1,0,0,0,0
8.229511118964457,1,1.0,6.907755278982137,0,0,1,0,0,0,0,0,0,Manhattan,1,2.049804781308704,1,0,0,0,1,0,0,0,0,0,0,0
7.861341795599989,3,1.0,6.802394763324311,0,0,1,0,0,0,0,0,0,Manhattan,0,1.139784405806994,0,0,1,0,0,0,0,0,0,0,0,0
7.90100705199242,3,1.0,6.907755278982137,0,0,1,0,0,0,0,0,0,Manhattan,0,1.139784405806994,0,0,1,0,0,0,0,0,0,0,0,0
8.366370301681654,4,1.0,6.684611727667927,0,0,0,0,0,0,0,0,0,Manhattan,0,2.1503620881298713,1,0,0,0,0,0,0,0,0,1,0,0
8.411832675758411,4,1.0,7.003065458786462,0,0,0,0,0,0,0,0,0,Manhattan,0,2.1503620881298713,1,0,0,0,0,0,0,0,0,1,0,0
7.5883236773352225,1,1.0,6.620073206530356,0,1,0,1,0,0,0,0,1,Manhattan,0,5.611711709723944,1,1,0,0,0,0,0,0,0,0,0,0
8.400659375160286,1,1.0,6.476972362889683,1,0,0,0,0,1,1,1,1,Manhattan,0,0.6990336154774613,1,0,1,0,0,0,0,0,0,0,0,0
8.612503371220562,1,1.0,6.802394763324311,1,0,0,0,0,1,1,1,1,Manhattan,0,0.6990336154774613,1,0,1,0,0,0,0,0,0,0,0,0
9.041921720351219,4,2.0,7.3777589082278725,0,1,1,0,0,0,0,0,0,Manhattan,0,1.4641407763944545,0,0,0,0,0,0,0,0,1,0,0,0
8.476371196895983,2,1.0,6.907755278982137,0,1,1,0,0,0,0,0,0,Manhattan,0,1.4641407763944545,0,0,0,0,0,0,0,0,1,0,0,0
8.594154232552366,3,2.0,7.090076835776092,0,0,1,0,0,0,0,0,1,Manhattan,0,2.073419257778237,1,0,0,1,0,0,0,0,0,0,0,0
8.611593866837723,3,2.0,6.907755278982137,0,0,0,1,0,0,0,1,0,Manhattan,0,1.6053608232987193,1,0,0,0,0,0,0,0,1,0,0,0
8.80086724247048,3,2.0,6.907755278982137,0,1,1,0,0,0,0,0,0,Manhattan,1,2.3445390076208956,1,0,0,1,0,0,0,0,0,0,0,0
8.986571625268054,4,2.0,7.24422751560335,0,1,1,0,0,0,0,0,0,Manhattan,1,2.3445390076208956,1,0,0,1,0,0,0,0,0,0,0,0
8.354674261918463,2,1.0,6.586171654854675,0,1,1,0,0,0,0,0,0,Manhattan,1,2.3445390076208956,1,0,0,1,0,0,0,0,0,0,0,0
8.611593866837723,1,1.0,6.684611727667927,1,1,1,0,0,1,1,1,1,Manhattan,1,1.5227805967891233,0,0,0,0,1,0,0,0,0,0,0,0
8.986571625268054,2,2.0,7.069023426578259,1,1,1,0,0,1,1,1,1,Manhattan,1,1.5227805967891233,0,0,0,0,1,0,0,0,0,0,0,0
8.181020909804023,0,1.0,6.263398262591624,1,1,1,0,0,1,1,1,1,Manhattan,1,1.5227805967891233,0,0,0,0,1,0,0,0,0,0,0,0
8.37793112408273,0,1.0,5.7899601708972535,0,1,0,0,0,0,0,0,0,Manhattan,1,1.0637732208909028,0,0,0,0,0,0,0,1,0,0,0,0
8.281470857895167,0,1.0,5.7899601708972535,0,1,0,0,0,0,0,0,0,Manhattan,1,1.0637732208909028,0,0,0,0,0,0,0,1,0,0,0,0
8.433811582477187,0,1.0,6.028278520230698,0,1,0,0,0,0,0,0,0,Manhattan,1,1.0637732208909028,0,0,0,0,0,0,0,1,0,0,0,0
8.60337088765729,2,1.0,6.721425700790643,0,1,0,0,0,0,0,0,0,Manhattan,1,1.0637732208909028,0,0,0,0,0,0,0,1,0,0,0,0
8.48673398393153,2,1.0,6.690842277418564,0,1,0,0,0,0,0,0,0,Manhattan,1,1.0637732208909028,0,0,0,0,0,0,0,1,0,0,0,0
8.647343875881283,4,2.0,7.003065458786462,0,0,0,0,0,0,0,0,0,Manhattan,0,0.9996620702186416,1,0,0,0,0,0,0,0,1,0,0,0
8.690810307580046,1,1.0,6.509514015963292,1,1,1,0,1,1,0,1,1,Manhattan,1,1.2923157793136981,1,0,0,0,0,0,0,1,0,0,0,0
9.049467146388098,2,2.0,6.956545443151569,1,1,1,0,1,1,0,1,1,Manhattan,1,1.2923157793136981,1,0,0,0,0,0,0,1,0,0,0,0
8.699514748210191,4,1.0,6.907755278982137,0,0,0,1,0,0,0,0,0,Manhattan,0,1.0918506525500895,1,0,0,0,0,0,0,1,0,0,0,0
8.006367567650246,2,1.0,6.309918278226516,0,0,0,1,0,0,0,0,0,Manhattan,0,1.0918506525500895,1,0,0,0,0,0,0,1,0,0,0,0
8.556413904569519,3,1.0,6.745236349484363,0,0,0,1,0,0,0,0,0,Manhattan,0,1.0918506525500895,1,0,0,0,0,0,0,1,0,0,0,0
8.181720455128108,2,1.0,6.620073206530356,0,0,0,1,0,0,0,0,0,Manhattan,0,2.108556177669509,0,0,0,1,0,0,0,0,0,0,0,0
8.181720455128108,2,1.0,6.745236349484363,0,0,0,1,0,0,0,0,0,Manhattan,0,2.108556177669509,0,0,0,1,0,0,0,0,0,0,0,0
8.852950887099581,4,2.0,6.907755278982137,0,0,1,0,0,0,0,0,0,Manhattan,1,1.6881527504858274,1,0,0,0,0,0,0,0,1,0,0,0
8.902455592206882,4,2.0,7.170119543449628,0,0,1,0,0,0,0,0,0,Manhattan,1,1.6881527504858274,1,0,0,0,0,0,0,0,1,0,0,0
8.411832675758411,0,1.0,7.313220387090301,0,0,0,0,0,0,0,0,0,Manhattan,0,1.2778918412916564,0,0,1,0,0,0,0,0,0,0,0,0
8.069342366811636,1,1.0,6.620073206530356,0,0,0,0,0,0,0,1,0,Manhattan,0,0.6233622192962046,0,0,1,0,0,0,0,0,0,0,0,0
7.562681246721884,1,1.0,6.437751649736401,0,0,0,0,0,0,0,1,0,Manhattan,0,4.426175121930655,1,1,0,0,0,0,0,0,0,0,0,0
8.811354229965728,2,2.0,7.003065458786462,1,0,0,1,1,1,1,0,0,Manhattan,0,1.7712803427069566,0,0,0,1,0,0,0,0,0,0,0,0
8.411832675758411,1,1.0,6.363028103540465,1,0,0,1,1,1,1,0,0,Manhattan,0,1.7712803427069566,0,0,0,1,0,0,0,0,0,0,0,0
