rent,beds,baths,sqft,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,car_charging,roof,concierge,pool,elevator,garage,dogs_allowed,cats_allowed,income_restrictions,dishwasher,price/sqft,dist_seattle,dist_transit,cluster_id
1295.0,0,0.0,281.0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,4.608540925266904,5.367609046258646,0.051494130411109645,18
1699.0,0,0.0,315.0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,5.393650793650794,5.367609046258646,0.051494130411109645,18
1799.0,0,0.0,330.0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,5.451515151515151,5.367609046258646,0.051494130411109645,18
1899.0,1,1.0,433.0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,4.38568129330254,5.367609046258646,0.051494130411109645,18
1599.0,0,0.0,284.0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,5.630281690140845,5.367609046258646,0.051494130411109645,18
1899.0,0,0.0,291.0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,6.525773195876289,5.367609046258646,0.051494130411109645,18
1561.0,0,0.0,315.0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,4.955555555555556,5.367609046258646,0.051494130411109645,18
1533.0,0,0.0,314.0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,4.882165605095541,5.367609046258646,0.051494130411109645,18
1450.0,0,0.0,284.0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,5.105633802816901,5.367609046258646,0.051494130411109645,18
1595.0,0,0.0,315.0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,5.063492063492063,5.367609046258646,0.051494130411109645,18
